# Toomre contour, halo — iso-density contour enclosing 86.5% of the projected mass
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],sqrt(U^2+W^2)[km/s]
-6.983,9.498
-8.564,9.507
-10.145,9.519
-11.727,9.534
-13.308,9.552
-14.889,9.572
-16.471,9.595
-18.052,9.620
-19.634,9.649
-21.215,9.680
-22.796,9.714
-24.378,9.751
-25.959,9.790
-27.540,9.833
-29.122,9.879
-30.703,9.927
-32.285,9.979
-33.866,10.033
-35.447,10.091
-37.029,10.152
-38.610,10.216
-40.191,10.284
-41.773,10.355
-43.354,10.429
-44.936,10.507
-46.517,10.588
-48.098,10.673
-49.680,10.761
-51.261,10.854
-52.842,10.950
-54.424,11.050
-56.005,11.154
-57.587,11.263
-59.168,11.376
-60.749,11.493
-62.331,11.614
-63.912,11.740
-65.493,11.871
-67.075,12.007
-68.656,12.148
-70.238,12.293
-71.819,12.445
-73.400,12.601
-74.982,12.763
-76.563,12.931
-78.144,13.105
-79.726,13.285
-81.307,13.472
-82.889,13.665
-84.470,13.864
-86.051,14.071
-87.633,14.285
-89.214,14.506
-90.796,14.735
-92.377,14.972
-93.958,15.217
-95.540,15.471
-97.121,15.733
-98.702,16.005
-100.284,16.286
-101.865,16.577
-103.447,16.879
-105.028,17.191
-106.609,17.514
-108.191,17.848
-109.772,18.194
-111.353,18.553
-112.935,18.925
-114.516,19.310
-116.098,19.708
-117.679,20.122
-119.260,20.550
-120.842,20.995
-122.423,21.456
-124.004,21.934
-125.586,22.430
-127.167,22.944
-128.749,23.479
-130.330,24.034
-131.911,24.611
-133.493,25.210
-135.074,25.833
-136.655,26.481
-138.237,27.155
-139.818,27.857
-141.400,28.587
-142.981,29.348
-144.562,30.142
-146.144,30.969
-147.725,31.833
-149.306,32.735
-150.888,33.678
-152.469,34.664
-154.051,35.696
-155.632,36.777
-157.213,37.910
-158.795,39.100
-160.376,40.351
-161.957,41.667
-163.539,43.053
-165.120,44.517
-166.702,46.065
-168.283,47.704
-169.864,49.445
-171.446,51.299
-173.027,53.278
-174.608,55.398
-176.190,57.680
-177.771,60.147
-179.353,62.832
-180.934,65.775
-182.515,69.033
-184.097,72.688
-185.678,76.865
-187.259,81.772
-188.841,87.817
-190.422,96.046
-192.004,117.340
-192.004,117.340
