# Toomre contour, thin — iso-density contour enclosing 86.5% of the projected mass
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],sqrt(U^2+W^2)[km/s]
221.503,2.070
221.085,2.081
220.668,2.093
220.250,2.106
219.833,2.119
219.415,2.134
218.997,2.148
218.580,2.164
218.162,2.180
217.745,2.197
217.327,2.215
216.910,2.233
216.492,2.253
216.074,2.273
215.657,2.294
215.239,2.316
214.822,2.338
214.404,2.362
213.986,2.386
213.569,2.412
213.151,2.438
212.734,2.466
212.316,2.494
211.898,2.523
211.481,2.554
211.063,2.586
210.646,2.618
210.228,2.652
209.810,2.688
209.393,2.724
208.975,2.762
208.558,2.801
208.140,2.841
207.723,2.883
207.305,2.926
206.887,2.971
206.470,3.018
206.052,3.066
205.635,3.115
205.217,3.167
204.799,3.220
204.382,3.275
203.964,3.332
203.547,3.391
203.129,3.452
202.711,3.516
202.294,3.581
201.876,3.649
201.459,3.719
201.041,3.792
200.624,3.867
200.206,3.946
199.788,4.026
199.371,4.110
198.953,4.197
198.536,4.287
198.118,4.381
197.700,4.478
197.283,4.578
196.865,4.683
196.448,4.791
196.030,4.904
195.612,5.021
195.195,5.142
194.777,5.268
194.360,5.400
193.942,5.536
193.524,5.678
193.107,5.826
192.689,5.980
192.272,6.141
191.854,6.308
191.437,6.483
191.019,6.665
190.601,6.856
190.184,7.055
189.766,7.263
189.349,7.481
188.931,7.710
188.513,7.949
188.096,8.201
187.678,8.465
187.261,8.744
186.843,9.037
186.425,9.347
186.008,9.675
185.590,10.022
185.173,10.391
184.755,10.784
184.338,11.203
183.920,11.653
183.502,12.138
183.085,12.662
182.667,13.232
182.250,13.857
181.832,14.550
181.414,15.328
180.997,16.218
180.579,17.264
180.162,18.554
179.744,20.312
179.326,24.535
179.326,25.331
