# Toomre contour, thick — iso-density contour enclosing 86.5% of the projected mass
# of the Anguiano et al. (2020) velocity distribution (classifier
# means/dispersions, Table 2 vertex deviation and ellipsoid tilt),
# galactocentric frame.
# Regenerate: cmake --build build --target regenerate_kinematic_contours
# columns: V[km/s],sqrt(U^2+W^2)[km/s]
179.048,4.701
178.391,4.726
177.734,4.753
177.077,4.781
176.421,4.811
175.764,4.842
175.107,4.875
174.450,4.909
173.793,4.945
173.137,4.982
172.480,5.022
171.823,5.062
171.166,5.105
170.510,5.149
169.853,5.196
169.196,5.244
168.539,5.294
167.882,5.346
167.226,5.400
166.569,5.456
165.912,5.514
165.255,5.574
164.598,5.637
163.942,5.701
163.285,5.769
162.628,5.838
161.971,5.910
161.315,5.985
160.658,6.062
160.001,6.142
159.344,6.225
158.687,6.310
158.031,6.399
157.374,6.491
156.717,6.586
156.060,6.684
155.403,6.785
154.747,6.890
154.090,6.999
153.433,7.111
152.776,7.228
152.120,7.348
151.463,7.472
150.806,7.601
150.149,7.735
149.492,7.872
148.836,8.015
148.179,8.163
147.522,8.316
146.865,8.474
146.209,8.638
145.552,8.807
144.895,8.983
144.238,9.165
143.581,9.353
142.925,9.549
142.268,9.751
141.611,9.961
140.954,10.179
140.297,10.405
139.641,10.639
138.984,10.882
138.327,11.134
137.670,11.396
137.014,11.669
136.357,11.951
135.700,12.246
135.043,12.551
134.386,12.869
133.730,13.200
133.073,13.545
132.416,13.905
131.759,14.279
131.102,14.670
130.446,15.078
129.789,15.503
129.132,15.949
128.475,16.414
127.819,16.902
127.162,17.413
126.505,17.949
125.848,18.512
125.191,19.105
124.535,19.728
123.878,20.386
123.221,21.081
122.564,21.817
121.907,22.598
121.251,23.428
120.594,24.314
119.937,25.262
119.280,26.282
118.624,27.383
117.967,28.580
117.310,29.890
116.653,31.339
115.996,32.961
115.340,34.811
114.683,36.980
114.026,39.643
113.369,43.255
112.712,52.402
112.712,52.402
